Model Used,Reference Area,REF_AREA,Indicator,Sex,Series Name,Series Category,Series Method,Series Type,Age Group of Women,Time Since First Birth,Series Year,Observation Status,Interval,Reference Date,Observation value,Standard Error,Unit of Measure,Lower Bound,Upper Bound
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1953.5,271.0534955,,Deaths per 1000 live births,225.8849086,322.1325228
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1954.5,266.5967776,,Deaths per 1000 live births,226.4503692,310.7914519
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1955.5,262.2290366,,Deaths per 1000 live births,226.8230288,301.0671393
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1956.5,257.9785369,,Deaths per 1000 live births,226.3752736,291.8930813
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1957.5,253.7766954,,Deaths per 1000 live births,225.3565601,283.7999687
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1958.5,249.7125522,,Deaths per 1000 live births,224.2930794,276.4289472
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1959.5,245.8836191,,Deaths per 1000 live births,222.6786389,269.9603111
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1960.5,242.0849708,,Deaths per 1000 live births,220.5547778,264.1913838
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1961.5,238.5271998,,Deaths per 1000 live births,218.6952114,258.8835258
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1962.5,235.2725856,,Deaths per 1000 live births,216.6925829,253.9827991
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1963.5,232.2568782,,Deaths per 1000 live births,214.8696106,249.5645897
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1964.5,229.478992,,Deaths per 1000 live births,213.359424,245.4255476
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1965.5,226.772467,,Deaths per 1000 live births,211.7863875,241.4854058
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1966.5,224.1731751,,Deaths per 1000 live births,210.5476207,237.742643
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1967.5,221.6567869,,Deaths per 1000 live births,209.3550556,234.2485329
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1968.5,219.069771,,Deaths per 1000 live births,207.9248022,230.6645928
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1969.5,216.3828255,,Deaths per 1000 live births,206.10921,227.0126032
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1970.5,213.5794318,,Deaths per 1000 live births,203.9650669,223.5684412
B3,India,IND,Under-five mortality rate,Total,UN IGME estimate 2019,,,,,,2019,Normal value,1,1971.5,210.5637957,,Deaths per 1000 live births,201.3404843,220.208355
